title,year_range,publisher,genre,characteristic,platform,no_players,metascore,user_avg
Celeste,2015-2020,MattMakesGamesInc.,Platformer,2D,Switch,No Online Multiplayer,92,8.3
Madden NFL 2004,2000-2005,EA,Sports,Football,Xbox,1 to 4,92,8.3
Super Street Fighter IV,2005-2010,Capcom,Fighting,3D,PlayStation3,1 to 8,92,7.8
World Soccer Winning Eleven 7 International,2000-2005,EA,Sports,Soccer,PC,1 to 2,92,7.5
Advance Wars,2000-2005,Nintendo,Strategy,Modern,GameBoyAdvance,1 to 4,92,9.0
Vagrant Story,1995-2000,SquareEnix,Action RPG,Modern,PlayStation,1 Player,92,8.5
What Remains of Edith Finch,2015-2020,GiantSparrow,Adventure,3D,XboxOne,No Online Multiplayer,92,7.4
Team Fortress 2,2005-2010,Valve,FPS,Modern,PC,1 to 32,92,9.1
System Shock 2,1995-2000,EA,Action Adventure,Sci-Fi,PC,1 Player,92,9.1
Tom Clancy's Splinter Cell: Chaos Theory,2000-2005,Ubisoft,Action Adventure,Stealth,PC,No Online Multiplayer,92,8.7
Final Fantasy XII,2005-2010,SquareEnix,Action RPG,Fantasy,PlayStation2,1 Player,92,7.5
Undertale,2015-2020,Tobyfox,RPG,Fantasy,PlayStation4,not specified,92,6.5
Madden NFL 2003,2000-2005,EA,Sports,Football,GameCube,1 to 4,92,8.5
The Witcher 3: Wild Hunt,2010-2015,CDProjectRedStudio,Action RPG,Fantasy,PlayStation4,No Online Multiplayer,92,9.2
Super Mario World: Super Mario Advance 2,2000-2005,Nintendo,Platformer,2D,GameBoyAdvance,not specified,92,8.9
ESPN NFL 2K5,2000-2005,Sega,Sports,Football,Xbox,1 to 4,92,8.9
Super Smash Bros. Melee,2000-2005,Nintendo,Fighting,3D,GameCube,1 to 4,92,9.1
Madden NFL 2003,2000-2005,Sega,Sports,Football,Xbox,1 to 4,92,8.1
Rome: Total War,2000-2005,Sega,Strategy,Historic,PC,8  Online,92,9.1
Forza Motorsport 3,2005-2010,XboxGamesStudios,Racing,GT/Street,Xbox360, 1 to 8,92,8.1
Okami HD,2015-2020,Capcom,Action Adventure,General,PC,No Online Multiplayer,92,7.6
Undertale,2010-2015,Tobyfox,RPG,Fantasy,PC,No Online Multiplayer,92,8.3
Batman: Arkham Asylum,2005-2010,RocksteadyStudios,Action Adventure,Fantasy,Xbox360,No Online Multiplayer,92,8.7
Super Mario Sunshine,2000-2005,Nintendo,Platformer,3D,GameCube,1 Player,92,8.6
SSX 3,2000-2005,EA,Sports,Snowboarding,Xbox,1 to 2,92,8.8
SoulCalibur II,2000-2005,Bandai,Fighting,3D,Xbox,1 to 2,92,8.9
Tony Hawk's Pro Skater,1995-2000,Activision,Sports,Skateboarding,PlayStation,1 to 2,92,8.9
Thief: The Dark Project,1995-2000,EidosInteractive,Action Adventure,Fantasy,PC,1 Player,92,9.0
Fire Emblem: Awakening,2010-2015,Nintendo,Strategy,Fantasy,3DS,No Online Multiplayer,92,9.1
Age of Empires II: The Age of Kings,1995-2000,XboxGamesStudios,Strategy,Historic,PC,No Online Multiplayer,92,9.0
