id;position;title;year;publisher;genre;characteristic;platform;metascore;user_avg;no_players
216;216;Thief: The Dark Project;1998;EidosInteractive;Action Adventure;Fantasy;PC;92;9.0;1 Player
217;217;Fire Emblem: Awakening;2013;Nintendo;Strategy;Fantasy;3DS;92;9.1;No Online Multiplayer
218;218;Age of Empires II: The Age of Kings;1999;XboxGamesStudios;Strategy;Historic;PC;92;9.0;No Online Multiplayer
219;219;Final Fantasy X;2001;SquareEnix;JRPG;Fantasy;PlayStation2;92;8.8;1 Player
220;220;Prince of Persia: The Sands of Time;2003;Ubisoft;Action Adventure;Fantasy;GameCube;92;8.2;1 Player
221;221;The Walking Dead: A Telltale Games Series;2012;TelltaleGames;Adventure;Point-and-Click;Xbox360;92;8.6;not specified
222;222;Unreal Tournament (1999);1999;EpicGames;FPS;Sci-Fi;PC;92;9.0;1 to 32
223;223;Sid Meier's Alpha Centauri;1999;FiraxisGames;Strategy;Sci-Fi;PC;92;9.0;not specified
224;224;Wave Race 64;1996;Nintendo;Racing;Snow/Water;Nintendo64;92;8.2;1 to 2
225;225;Galactic Civilizations II: Twilight of the Arnor;2008;Stardock;Strategy;Sci-Fi;PC;92;8.4;1 Player
226;226;Super Smash Bros. for Wii U;2014;Bandai;Fighting;3D;WiiU;92;9.0;1 to 4
227;227;Guitar Hero II;2006;Activision;Rhythm;Music;PlayStation2;92;8.5;1 to 2
228;228;Into the Breach;2018;SubsetGames;Strategy;Tactics;Switch;92;8.1;No Online Multiplayer
229;229;Final Fantasy VII;1997;SquareEnix;JRPG;Fantasy;PlayStation;92;9.2;1 Player
230;230;Rock Band;2007;MtvGames;Rhythm;Music;PlayStation3;92;8.4;4  Online
231;231;Chrono Trigger;2008;SquareEnix;JRPG;Fantasy;DS;92;8.9;No Online Multiplayer
232;232;Bayonetta 2;2018;Nintendo;Action Adventure;Linear;Switch;92;8.4;No Online Multiplayer
233;233;Journey;2012;SonyInteractiveEntertainment;Platformer;3D;PlayStation3;92;8.8;not specified
234;234;Xenoblade Chronicles;2012;Nintendo;Action RPG;Fantasy;Wii;92;9.0;No Online Multiplayer
235;235;Conker's Bad Fur Day;2001;Rare;Platformer;3D;Nintendo64;92;9.1;not specified
236;236;Medal of Honor;1999;EA;FPS;Historic;PlayStation;92;8.7;1 to 2
237;237;PaRappa the Rapper;1997;SonyInteractiveEntertainment;Rhythm;Music;PlayStation;92;7.4;1 Player
